OfferID,CategoryID
11771,60000
11771,60100
11772,70000
11773,40000
11773,40100
11774,60000
11774,60400
11775,60000
11775,60100
11776,60000
11776,60100
11777,10000
11777,10100
11777,10200
11778,60000
11778,60100
11779,60000
11779,60100
11780,60000
11780,60100
11781,10000
11781,10200
11782,40000
11782,40100
11783,10000
11783,11000
11784,10000
11784,10200
11785,10000
11785,11000
11786,10000
11786,10300
11787,100000
11787,100100
11788,10000
11789,10200
11790,10000
11790,10200
11790,10400
11791,150000
11791,150700
11792,100000
11792,100100
11793,10000
11793,10200
11793,11000
11794,10000
11794,10200
11794,10400
11795,10000
11795,10200
11796,10000
11796,11000
11797,10000
11797,10200
11797,10400
11798,10000
11798,10100
11799,100000
11799,100100
11800,10000
11800,10100
11801,70000
11802,10000
11802,10100
11803,10000
11803,10100
11804,10000
11804,10200
11805,10000
11805,10200
11806,10000
11806,10200
11806,10400
11806,10900
11807,10000
11807,10200
11807,10400
11808,10000
11808,10200
11808,10400
11809,150000
11809,150300
11810,150000
11810,150300
11811,150000
11811,150300
11812,150000
11812,150300
11813,20000
11813,60400
11814,20000
11814,60400
11815,30000
11816,30000
11817,10000
11817,10200
11817,10400
11818,10000
11818,10200
11818,10400
11819,60000
11819,60300
11820,60000
11820,60300
11821,60000
11821,60300
11822,100200
11823,120000
11823,120100
11823,120200
11824,120000
11824,120100
11825,120000
11825,120100
11826,150000
11826,150100
11827,150000
11827,150200
11828,150000
11828,150100
11829,60000
11829,60400
11830,60000
11830,60400
11831,60000
11831,60400
11832,40000
11832,40400
11833,40000
11833,40600
11834,40000
11834,40400
11835,90000
11835,90500
11836,40000
11836,40700
11837,40800
11837,100000
11837,100400
11838,110000
11838,110300
11839,60000
11839,60400
11839,60800
11840,40000
11840,40800
11841,40000
11841,40600
11842,40000
11842,40600
11843,40000
11843,40800
11844,40000
11844,40300
11845,40500
11846,40000
11846,40700
11846,90000
11846,90300
11847,60000
11847,60400
11848,40000
11848,40600
11849,40000
11849,40500
11850,40000
11850,40500
11851,10200
11851,110000
11851,110400
11852,60000
11852,60400
11852,110000
11852,110200
11853,110000
11853,110300
11854,10000
11854,10100
11854,10200
11855,10000
11855,10100
11855,10200
11856,10000
11856,10100
11856,10200
11857,10000
11857,10100
11857,10200
11858,10000
11858,10100
11858,10200
11859,10000
11859,10100
11859,10200
11860,10000
11860,10100
11860,10200
11861,10000
11861,10100
11861,10200
11862,10000
11862,10100
11862,10200
11863,10000
11863,10100
11863,10200
11863,10700
11863,11000
11864,10000
11864,10100
11864,10200
11865,10000
11865,10100
11865,10200
11866,10000
11866,10100
11866,10200
11867,10000
11867,10100
11867,10200
11867,10300
11867,10600
11867,10700
11867,10800
11867,11000
11868,10000
11868,10100
11868,10200
11869,10000
11869,10200
11869,10700
11869,11000
11870,10000
11870,10100
11870,10200
11871,10000
11871,10100
11871,10200
11871,10700
11872,40000
11872,40500
11873,70000
11874,70000
11875,70000
11876,70000
11877,70000
11878,70000
11879,70000
11880,70000
11881,70000
11882,70000
11883,10000
11883,10200
11883,10400
11884,10000
11884,10200
11884,10400
11885,10000
11885,10200
11885,10400
11886,10000
11886,10200
11886,10400
11887,10000
11887,10900
11888,10000
11888,10900
11889,150000
11889,150600
11890,150000
11890,150600
11891,150000
11891,150600
11892,70000
11893,140000
11893,140200
11894,90000
11894,90400
11895,10000
11895,10200
11895,10400
11896,10000
11896,10200
11896,10400
11897,100000
11897,100100
11898,100000
11898,100100
11899,100000
11899,100100
11900,110000
11900,110300
11901,110000
11901,110100
11901,110200
11901,110300
11901,110400
11901,110500
11902,110000
11902,110100
11902,110300
11902,110500
11903,110000
11903,110100
